plain_name,name,meaning,sample,note
bear up,bear up,withstand,I didn't think he would bear up so well in that situation.,
bear up under,bear up under +,withstand,How did he bear up under such extreme pressure.,
bear with,bear with +,be patient,Please bear with me while I fill out the paperwork.,
blow in,blow in,visit unexpectedly (inf.),My cousin blew in unexpectedly with his entire family.,
blow over,blow over,pass without creating a problem,All this negative publicity will blow over in a couple of weeks.,
blow up,blow * up +,make explode;destroy using explosives,The terrorists blew the bridge up.,
blow up,blow up,explode,The bomb blew up before they could defuse it.,
blow up,blow up,suddenly become very angry,"When Joan heard the news, she blew up and rushed out of the room.",
break down,break * down +,analyze in detail,We need to break this problem down in order to solve.,
break down,break down,stop working properly,The truck broke down in the desert.,
break down,break down,become mentally ill,She broke down after her husband died.,
break in,break * in +,wear or use something new until it is comfortable,I need to break these shoes in before I go hiking.,
break in,break in,interrupt,"While we were discussing the situation, Terri broke in to give her opinion.",
break in,break in,enter a place unlawfully,The burglar broke in between midnight and 3 AM.,
break in on,break in on +,interrupt (a conversation),Jane broke in on the conversation and told us to get back to work.,
break into,break into +,enter a house unlawfully,The burglar broke into the house between midnight and 3 AM.,
break into,break into +,interrupt (a conversation),Jane broke into the conversation and told us what she knew.,
break off,break * off +,end something,Sally broke her engagement to John off.,
break out,break out,appear violently,Violent protests broke out in response to the military coup.,
break out,break out +,use something extravagant for celebration,He broke out the champagne to celebrate his promotion.,
break out  of,break out  of +,escape,The murderer broke out of the prison.,
break up,break * up +,break into pieces,I broke the cracker up into pieces and put it in the soup.,
break up,break * up +,"disperse (a crowd), stop (a fight)",The police broke the demonstration up before it got out of control.,
break up,break up,end a relationship,Sam and Diane broke up again. What a rocky relationship.,
bring about,bring * about +,cause to happen,Democracy brought about great change in the lives of the people.,
bring along,bring * along +,bring with,"When we go to the forest, bring your wildlife guide along.",
bring around,bring * around,"change someone's mind, convince someone","She doesn't want to go, but we'll eventually bring her around.",
bring away,bring * away,learn or gain (from an experience),"My trip across the Sahara was difficult, but I brought a new appreciation for life away from the experience.",
